"index","listing_id","price","nbhood_full","host_name","last_review","description","room_type"
"115","39593","79 dollars","Queens, Sunnyside","Myung","April 12 2019","A room w/ a Manhattan view, longer stay","PRIVATE ROOM"
"116","39704","135 dollars","Brooklyn, Bedford-Stuyvesant","Renée","June 22 2019","Private, Large & Sunny 1BR w/W&D","entire home/apt"
"117","41348","250 dollars","Brooklyn, Gowanus","Syl","July 06 2019","* Spacious GARDEN Park Slope Duplex* 6 people max","Entire home/apt"
"118","42580","70 dollars","Brooklyn, Clinton Hill","Waldemar","June 24 2019","Parlor Room In Victorian Townhouse","Private room"
"119","42729","165 dollars","Brooklyn, Carroll Gardens","Annette","June 18 2019","House On Henry (2nd FLR Suite)","ENTIRE HOME/APT"
"120","42882","70 dollars","Staten Island, St. George","Newyorkroomwithaview","June 13 2019","New York room with a view","Private room"
"121","43957","50 dollars","Brooklyn, Bushwick","Tessa","June 19 2019","Sunny cozy room in Brklyn townhouse","private room"
"122","44096","40 dollars","Bronx, Highbridge","Waundell","July 04 2019","Room with a View","PRIVATE ROOM"
"123","44212","125 dollars","Manhattan, East Village","Bruce","June 23 2019","West Inn 2 - East Village","Private room"
"124","44221","196 dollars","Manhattan, Financial District","Coral","June 20 2019","Financial District Luxury Loft","Entire home/apt"
"125","44229","110 dollars","Brooklyn, Fort Greene","Carol","June 24 2019","BROOKLYN VICTORIAN STYLE SUITE.....","Private room"
"126","44288","170 dollars","Manhattan, West Village","Sara","June 01 2019","Your own Lovely West Village Studio","entire home/apt"
"127","44506","165 dollars","Manhattan, Harlem","Laurine","May 26 2019","ACCOMMODATIONS GALORE#3. 1-5 GUESTS","Entire home/apt"
"128","45556","65 dollars","Brooklyn, Fort Greene","Doug","June 30 2019","Fort Greene, Brooklyn: Center Bedroom","Private room"
"129","45910","350 dollars","Queens, Ridgewood","Mark","May 12 2019","Beautiful Queens Brownstone! - 5BR","entire home/apt"
"130","45936","99 dollars","Manhattan, Morningside Heights","Rahul","May 14 2019","Couldn't Be Closer To Columbia Uni","Private room"
"131","45940","200 dollars","Brooklyn, Williamsburg","Miyoung","April 08 2019","Bright Spacious Luxury Condo","Entire home/apt"
"132","46544","150 dollars","Brooklyn, Park Slope","Monica","June 05 2019","Park Slope haven 15 mins from Soho","Entire home/apt"
"133","46723","90 dollars","Brooklyn, Bedford-Stuyvesant","Marylyn","May 19 2019","SAFE  AND BEAUTIFUL ACCOMODATION","PRIVATE ROOM"
"134","46911","120 dollars","Brooklyn, Prospect Heights","Kathleen R.","June 24 2019","Large Room in private Brownstone in Park Slope","Private room"
"135","47199","75 dollars","Manhattan, Upper East Side","Teresa","June 24 2019","NEW YORK CITY, 1 BDRM.(NEAR CENTRAL PARK & METRO)","Private room"
"136","47926","275 dollars","Manhattan, Hell's Kitchen","Claudia","June 26 2019","LUX APT IN TIMES SQUARE NEW BUILDING","Entire home/apt"
"137","48719","299 dollars","Manhattan, Lower East Side","Shane","June 15 2019","Designer 1 BR Duplex w/ Terrace- Spectacular Views","Entire home/apt"
"138","50447","135 dollars","Brooklyn, South Slope","Laurie","June 22 2019","Lovely Apt & Garden;  Legal;  Best Area; Amenities","Entire home/apt"
"139","51485","83 dollars","Manhattan, Lower East Side","Erina","June 22 2019","Lower East Side $57~/night","Private room"
"140","51572","123 dollars","Manhattan, Chelsea","Lee","June 18 2019","Prime Location in Manhattan","Private room"
"141","51850","55 dollars","Queens, Jamaica","Jullett","May 20 2019","( F) Excellent/Pvt Rm","Private room"
"142","53137","195 dollars","Manhattan, Hell's Kitchen","Marlaine","July 01 2019","Quiet, sunny Midtown Manhattan apt.","entire home/apt"
"143","53477","265 dollars","Queens, Middle Village","Mark","April 27 2019","3 floors of luxury!","ENTIRE HOME/APT"
"144","54158","249 dollars","Brooklyn, Williamsburg","Bob","June 20 2019","The Institute‚ÄîHeart of Williamsburg","Entire home/apt"
"145","54508","100 dollars","Brooklyn, Prospect Heights","Kathleen R.","June 06 2019","Sml Rm in pr Brst  Park Sl great for Med/students","PRIVATE ROOM"
"146","54544","121 dollars","Manhattan, Harlem","Wayne","June 22 2019","City Room - Private Penthouse Apt.","Entire home/apt"
"147","54626","45 dollars","Bronx, Highbridge","Waundell","June 30 2019","Cozy bedroom by Yankee Stadium","Private room"
"148","54860","100 dollars","Manhattan, East Harlem","Jenny","June 23 2019","Great apartment with private bathroom and entrance","Private room"
"149","55467","140 dollars","Brooklyn, Williamsburg","Paul","July 02 2019","Private Garden Apt ‚Ä¢ New Renovation","Entire home/apt"
"150","55498","71 dollars","Brooklyn, Bedford-Stuyvesant","Tami","July 01 2019","Modern comfort in art infused landmark Brownstone","Private room"
"151","55737","199 dollars","Manhattan, West Village","Pete","May 19 2019","Sleek & Comfortable Soho Apt","Entire home/apt"
"152","55959","69 dollars","Brooklyn, Williamsburg","Gus","June 10 2019","Spacious Williamsburg Share w/ LOFT BED","Private room"
"153","56467","130 dollars","Manhattan, East Village","Leonardo","July 01 2019","Cozy East Village Railroad 1 Bed!","Entire home/apt"
"154","56525","195 dollars","Brooklyn, Greenpoint","Alex","June 13 2019","1 Bedroom Loft w/ Private Roof Deck","Entire home/apt"
"155","56859","64 dollars","Manhattan, Harlem","Wayne","June 03 2019","City Room - Private & Comfy Bedroom","private room"
"156","57166","140 dollars","Queens, Ditmars Steinway","Vasili","June 17 2019","Elegant NYC Pad","Entire home/apt"
"157","57297","159 dollars","Brooklyn, Cobble Hill","S.M.","June 24 2019","Clean & bright 1BR in Cobble Hill, GREAT location!","Entire home/apt"
"158","57468","189 dollars","Manhattan, East Village","Ori","June 23 2019","Modern, Large East Village Loft","Entire home/apt"
"159","57618","250 dollars","Manhattan, Hell's Kitchen","Ana","June 09 2019","Great new apt, close to everything","Entire home/apt"
"160","57740","239 dollars","Manhattan, East Village","I","May 24 2019","Quiet & Clean Retreat in the City","Entire home/apt"
"161","57754","305 dollars","Manhattan, Flatiron District","R","June 30 2019","Stylish Large Gramercy Loft!","ENTIRE HOME/APT"
"162","57874","155 dollars","Manhattan, Harlem","Simon","June 26 2019","The Brownstone-Luxury 1 Bd Apt/NYC","ENTIRE HOME/APT"
"163","58059","60 dollars","Manhattan, Harlem","Agnes","July 03 2019","PRIVATE Room on Historic Sugar Hill","private room"
"164","58062","135 dollars","Brooklyn, Windsor Terrace","Linda","May 17 2019","South Slope Green","Private room"
"165","58467","120 dollars","Manhattan, Roosevelt Island","Dave","May 08 2019","17 Flr. Manhattan Views, Nr. Subway","Private room"
"166","59014","150 dollars","Manhattan, Lower East Side","Drica","January 02 2019","Spacious 1BR, Adorable Clean Quiet","Entire home/apt"
"167","59642","135 dollars","Brooklyn, Greenpoint","Betty","May 19 2019","Franklin St Flat in Trendy Greenpoint Brooklyn","Entire home/apt"
"168","59709","250 dollars","Manhattan, Chinatown","Ricardo & Ashlie","July 01 2019","Artistic, Cozy, and Spacious w/ Patio! Sleeps 5","entire home/apt"
"169","60164","500 dollars","Manhattan, SoHo","Harrison","June 23 2019","Beautiful, elegant 3 bed SOHO loft","Entire home/apt"
"170","60457","225 dollars","Manhattan, Greenwich Village","Jessica","May 11 2019","Spacious Greenwich Village Apt","entire home/apt"
"171","60666","92 dollars","Manhattan, Harlem","Wayne","June 11 2019","City Room - Private Luxury Suite","Private room"
"172","60680","99 dollars","Manhattan, East Village","Mich","June 20 2019","The gem of the East Village","Entire home/apt"
"173","60948","140 dollars","Manhattan, East Harlem","Laurine","June 20 2019","ACCOMMODATIONS GALORE #2","Entire home/apt"
"174","61406","80 dollars","Manhattan, Harlem","Bethania","June 01 2019","Great room in great location","private room"
"175","61492","120 dollars","Manhattan, Chinatown","Tunji","June 23 2019","Exclusive Room with Private Bath in  LES","Private room"
"176","61509","110 dollars","Manhattan, Midtown","Anna/Fonzy","April 30 2019","Quiet, clean midtown apt w. elevato","Entire home/apt"
"177","62095","65 dollars","Brooklyn, East Flatbush","Colette&Sean","June 14 2019","BK Sweet Suite w/Kitchen&FullBath","Entire home/apt"
"178","62427","130 dollars","Manhattan, East Village","Brie","May 26 2019","Great East Village Apartment Rental","Entire home/apt"
"179","62430","99 dollars","Brooklyn, Bushwick","Sheila","June 22 2019","BROWNSTONE SUNDRENCHED BEAUTY","entire home/apt"
"180","62452","36 dollars","Staten Island, Tompkinsville","Lissette","June 25 2019","A SpeciaL!! Private Room in NY","Private room"
"181","62461","37 dollars","Staten Island, Tompkinsville","Lissette","June 10 2019","B NYC Staten Alternative...","Private room"
"182","62787","37 dollars","Staten Island, Tompkinsville","Lissette","July 02 2019","C Private Room By The Ferry","private room"
"183","62891","175 dollars","Manhattan, East Village","Olivia","May 24 2019","Smallest House In The Village","Entire home/apt"
"184","62903","205 dollars","Manhattan, Chelsea","Daniel","June 21 2019","Beautiful modern studio apartment in heart of NYC","ENTIRE HOME/APT"
"185","62925","285 dollars","Brooklyn, Greenpoint","Maya","June 16 2019","Beautiful Landmarked Duplex","Entire home/apt"
"186","63299","59 dollars","Brooklyn, Williamsburg","Scott","June 23 2019","BROOKLYN > Guest Room w/ Queen Bed in Williamsburg","private room"
"187","63320","36 dollars","Staten Island, Tompkinsville","Lissette","July 02 2019","D Private Che@p Room 2 Explore NYC","Private room"
"188","63360","99 dollars","Queens, Astoria","Dennis & Naoko","June 24 2019","Safe cute near subway& Manhattan NY NY retro style","Entire home/apt"
"189","63546","39 dollars","Brooklyn, Kensington","Antonín","May 16 2019","Large and Cozy Private Bedroom","Private room"
"190","63610","105 dollars","Bronx, Eastchester","Vie","June 27 2019","DOMINIQUE'S NY mini efficiency* wifi*metro*quiet","Entire home/apt"
"191","63657","135 dollars","Brooklyn, Bedford-Stuyvesant","Renée","June 25 2019","Private, Large & Sunny Top Floor Apt  w/W&D","entire home/apt"
"192","63693","390 dollars","Manhattan, East Village","Olivia","June 19 2019","Cottage in the Village","ENTIRE HOME/APT"
"193","64000","60 dollars","Brooklyn, Williamsburg","Kristian & Di","January 07 2019","Williamsburg near soho. / loftbed","Private room"
"194","64107","100 dollars","Brooklyn, Crown Heights","Niya","June 24 2019","BROOKLYN  STUDIO APARTMENT","Private room"
"195","64277","70 dollars","Brooklyn, Bedford-Stuyvesant","Helene","January 02 2019","BEDROOM2 FOR RENT  10min from Manh","PRIVATE ROOM"
"196","64314","110 dollars","Brooklyn, Crown Heights","Debbie","May 26 2019","cozy bedroom in lovely garden apt","private room"
"197","64365","60 dollars","Brooklyn, Crown Heights","Anthony","June 27 2019","Crown Heights Garden Apt.","private room"
"198","64707","90 dollars","Manhattan, Little Italy","Tilly","January 02 2019","Amazing  Sunny & Breezy Home In the Heart of  NYC","Entire home/apt"
"199","64837","68 dollars","Manhattan, East Village","Edward","June 23 2019","ENJOY Downtown NYC!!","private room"
"200","65019","115 dollars","Manhattan, Upper West Side","Claire","July 06 2019","Charming UWS Treehouse Apt","Entire home/apt"
"201","65268","75 dollars","Brooklyn, Bedford-Stuyvesant","Juhli","January 05 2019","Share a HOME - $75 for 1 bdrm/++ for 2 - Brooklyn","Private room"
"202","65562","129 dollars","Manhattan, East Village","Mary D","January 03 2019","CHARMING EAST VILLAGE 2 (or 1) BR","Entire home/apt"
"203","65615","130 dollars","Brooklyn, Williamsburg","Valerie","June 29 2019","Farmhouse Apartment in Williamsburg","Entire home/apt"
"204","65660","95 dollars","Brooklyn, Williamsburg","Larissa","July 07 2019","Bright+Spacious Williamsburg Abode!","Entire home/apt"
"205","65813","75 dollars","Manhattan, Harlem","Eric","January 02 2019","Suite Sugar Hill, Harlem, Private Rm in Hosted Apt","PRIVATE ROOM"
"206","66008","190 dollars","Brooklyn, Carroll Gardens","Melissa","July 01 2019","CHARMING CARROLL GARDENS APT.","Entire home/apt"
"207","66026","49 dollars","Brooklyn, Crown Heights","Alex","June 30 2019","Private Bedroom Brownstone Brooklyn","Private room"
"208","66251","212 dollars","Manhattan, East Village","Samir","June 25 2019","East Village Loft with Piano & Patio","Entire home/apt"
"209","66275","95 dollars","Manhattan, Lower East Side","Tony","June 23 2019","Lower East Side Magic Room","Private room"
"210","66451","140 dollars","Brooklyn, Williamsburg","Luis Fernando","February 16 2019","**Fantastic Williamsburg Apt**","entire home/apt"
"211","66718","135 dollars","Manhattan, Harlem","Henning","June 23 2019","West Harlem Home Base - Eco-Apt.","entire home/apt"
"212","66741","150 dollars","Brooklyn, Park Slope","Stefano","June 23 2019","Charming Garden Apt in Park Slope","Entire home/apt"
"213","66974","190 dollars","Brooklyn, Gowanus","Jana","July 01 2019","Lovely, Modern, Garden Apartment","Entire home/apt"
"214","67288","124 dollars","Manhattan, East Harlem","Per","June 15 2019","Central Park 1BR sunny condo","Entire home/apt"
"215","67299","135 dollars","Brooklyn, Williamsburg","Adrienne","May 06 2019","Cozy Garden Apartment  in Williamsburg","Entire home/apt"
"216","67397","122 dollars","Manhattan, Morningside Heights","Elise","June 22 2019","SoHa comfort-by NW Central Park!","Private room"
"217","68099","109 dollars","Manhattan, Upper West Side","Deda","June 25 2019","Cozy room in Upper West Side","Private room"
"218","68403","145 dollars","Brooklyn, Bedford-Stuyvesant","Naimah","June 24 2019","The Cozy Brownstone Inn (discount)!","entire home/apt"
"219","68735","195 dollars","Manhattan, Upper West Side","Violetta","June 13 2019","Prewar Penthouse w Private Terrace","ENTIRE HOME/APT"
"220","68765","250 dollars","Brooklyn, Carroll Gardens","Jenna","June 27 2019","Designer 2.5 BR Loft in Carroll Gardens by Subway","Entire home/apt"
"221","68974","575 dollars","Manhattan, Little Italy","Alicia","June 20 2019","Unique spacious loft on the Bowery","ENTIRE HOME/APT"
